MIDI to text converter by Dominic Bodman
==============CONCISE MODE==============
Song data: Note count | Duration | Tempo change count
Tempo data: BPM | Start time | End time
Channel data: Channel 1 instrument | Channel 2 instrument | ... | Channel 16 instrument (Note: -1 indicates an unused channel)
Note data: Start Time | Channel | Key | Velocity | Duration
========================================
DATA BEGIN
36694|9|30|100|134
36694|9|42|100|267
36694|9|44|100|267
36694|4|43|100|267
36694|3|31|100|267
36828|1|72|100|133
36828|9|30|100|133
36961|9|38|100|268
36961|9|46|100|268
36961|2|30|100|268
36961|1|72|100|134
36961|4|42|100|268
36961|0|42|100|268
36961|15|66|100|268
36961|3|30|100|268
36961|15|54|100|268
37095|1|72|100|134
37229|9|30|100|134
37229|9|44|100|268
37229|15|67|100|268
37229|15|55|100|268
37229|0|43|100|268
37229|2|31|100|268
37229|3|31|100|268
37229|4|43|100|268
37363|1|72|100|134
37363|9|30|100|134
37408|9|35|65|89
37497|15|58|100|134
37497|3|34|100|134
37497|2|34|100|134
37497|1|72|100|134
37497|0|46|100|134
37497|15|70|100|134
37497|4|46|100|134
37497|9|46|100|268
37497|9|35|100|268
37631|1|72|100|134
37676|9|42|100|89
37765|9|46|100|268
37765|15|58|100|134
37765|0|46|100|134
37765|2|34|100|134
37765|4|46|100|134
37765|3|34|100|134
37765|9|35|100|268
37765|15|70|100|134
37899|1|72|100|134
38033|1|72|100|134
38167|1|72|100|134
38301|9|35|100|267
38435|1|72|100|133
38568|1|72|100|134
38568|9|35|100|268
38568|9|49|100|268
38568|13|68|100|2143
38568|9|42|100|268
38702|1|72|100|134
38836|14|62|100|1875
38970|1|72|100|134
39104|9|42|100|268
39104|1|72|100|134
39238|1|72|100|134
39506|1|72|100|134
39640|9|42|100|268
39640|1|72|100|134
39774|1|72|100|134
40042|1|72|100|134
40176|9|42|100|267
40176|1|72|100|133
40309|1|72|100|134
40577|1|72|100|134
40711|3|43|100|2143
40711|3|31|100|2143
40711|1|55|100|2143
40711|1|72|100|134
40711|4|31|100|2143
40711|4|43|100|2143
40711|9|35|100|536
40711|0|43|100|2143
40711|13|68|100|2143
40711|15|67|100|2143
40711|0|31|100|2143
40711|8|43|100|2143
40845|1|72|100|134
40979|9|44|100|134
41113|1|72|100|134
41113|9|44|100|134
41247|1|72|100|134
41247|9|46|100|134
41247|9|40|100|134
41247|9|37|100|134
41381|1|72|100|134
41515|9|36|100|134
41515|9|44|100|134
41649|1|72|100|134
41649|9|44|100|134
41649|9|35|100|134
41783|1|72|100|133
41916|9|35|100|134
41916|1|72|100|134
42050|9|44|100|134
42050|9|36|100|134
42184|9|44|101|134
42184|1|72|100|134
42318|9|46|101|134
42318|9|40|101|134
42318|1|72|100|134
42318|9|37|101|134
42452|1|72|100|134
42452|9|35|101|134
42586|9|44|101|134
42720|9|44|101|134
42720|1|72|100|134
42854|15|68|100|2143
42854|9|35|101|536
42854|13|68|100|2143
42854|8|44|100|2143
42854|3|32|100|2143
42854|3|44|100|2143
42854|4|44|100|2143
42854|1|72|100|134
42854|1|56|100|2143
42854|0|32|100|2143
42854|4|32|100|2143
42854|0|44|100|2143
42988|1|72|100|134
43122|9|44|101|134
43256|1|72|100|134
43256|9|44|101|134
43390|9|40|101|134
43390|1|72|100|134
43390|9|46|101|134
43390|9|37|101|134
43524|1|72|100|133
43657|9|44|101|134
43657|9|36|101|134
43791|1|72|100|134
43791|9|44|101|134
43791|9|35|101|134
43925|1|72|100|134
44059|9|35|101|134
44059|1|72|100|134
44193|9|36|101|134
44193|9|44|101|134
44327|1|72|100|134
44327|9|44|101|134
44461|9|40|101|134
44461|9|46|101|134
44461|9|37|101|134
44461|1|72|100|134
44595|1|72|100|134
44595|9|35|101|134
44729|9|44|101|134
44863|1|72|100|134
44863|9|44|101|134
44997|9|35|101|535
44997|4|45|100|2142
44997|4|33|100|2142
44997|3|33|100|2142
44997|1|72|100|134
44997|1|57|100|1339
44997|8|45|100|1339
44997|0|45|100|2142
44997|3|45|100|2142
44997|13|68|100|2142
44997|0|33|100|2142
44997|15|69|100|1339
45131|1|72|100|133
45264|9|44|101|134
45398|9|44|101|134
45398|1|72|100|134
45532|9|40|101|134
45532|9|46|101|134
45532|9|37|101|134
45532|1|72|100|134
45666|1|72|100|134
45800|9|36|101|134
45800|9|44|101|134
45934|9|44|101|134
45934|9|35|101|134
45934|1|72|100|134
46068|1|72|100|134
46202|9|35|101|134
46202|1|72|100|134
46336|15|71|100|402
46336|1|59|100|402
46336|9|36|101|134
46336|8|47|100|402
46336|9|44|101|134
46470|1|72|100|134
46470|9|44|101|134
46604|9|37|101|134
46604|1|72|100|134
46604|9|40|101|134
46604|9|46|101|134
46738|8|48|100|401
46738|1|60|100|401
46738|1|72|100|134
46738|9|35|101|134
46738|15|72|100|401
46872|9|44|101|133
47005|1|72|100|134
47005|9|44|101|134
47139|1|58|100|1072
47139|3|46|100|1072
47139|3|34|100|1072
47139|13|68|100|1072
47139|15|70|100|1072
47139|9|35|101|536
47139|0|46|100|1072
47139|0|34|100|1072
47139|4|46|100|1072
47139|4|34|100|1072
47139|8|46|100|2143
47407|9|44|101|134
47541|9|44|101|134
47675|9|37|101|134
47675|9|40|101|134
47675|9|46|101|134
47943|9|44|101|134
48077|9|35|101|134
48211|9|36|101|134
48211|15|71|100|134
48211|9|35|101|134
48211|9|49|101|134
48211|9|57|101|134
48300|15|70|100|134
48345|15|69|100|134
48389|15|68|100|134
48434|15|66|100|134
48479|15|65|100|133
48523|15|64|100|134
48568|15|63|100|134
48612|15|62|100|134
48657|15|60|100|134
48702|15|58|100|134
48702|15|59|100|134
48746|15|56|100|134
48791|15|55|100|134
48836|15|54|100|134
48880|15|52|100|134
48925|15|50|100|134
48970|15|49|100|134
49014|15|48|100|134
49059|15|46|100|134
49059|15|44|100|134
49104|15|43|100|133
49193|15|41|100|134
49282|4|36|100|268
49282|9|35|100|268
49282|0|36|100|268
49282|1|72|100|134
49282|3|24|100|268
49282|9|42|100|268
49282|2|24|100|268
49282|15|60|100|268
49416|1|72|100|134
49550|9|42|100|134
49550|15|67|100|268
49550|3|31|100|268
49550|2|31|100|268
49550|4|43|100|268
49550|0|43|100|268
49684|1|72|100|134
49684|9|42|100|134
49818|3|30|100|268
49818|2|30|100|268
49818|4|42|100|268
49818|1|72|100|134
49818|15|66|100|268
49818|0|42|100|268
49818|9|38|100|268
49818|9|46|100|268
49818|9|42|100|268
49952|1|72|100|134
50086|0|43|100|267
50086|4|43|100|267
50086|3|31|100|267
50086|9|42|100|134
50086|2|31|100|267
50220|1|72|100|133
50220|9|42|100|133
50264|9|35|64|89
